dataset,model,corruption,d_acc,d_f1,d_xai,D_c
handpd_meander,efficientnet_b0,brightness,0.19839357429718874,0.2690158167165556,0.190205,0.21794253216356102
handpd_meander,efficientnet_b0,contrast,0.006693440428380169,0.007162885951068042,0.048,0.015095585999510499
handpd_meander,efficientnet_b0,gaussian_blur,0.08433734939759034,0.09545831297966816,0.115706,0.09394736859269562
handpd_meander,efficientnet_b0,gaussian_noise,0.0013386880856760233,0.0014497286118152885,0.048859999999999994,0.010876262626382598
handpd_meander,efficientnet_b0,jpeg_compression,0.06666666666666668,0.12614543297564665,0.08292553191489362,0.08776206960900605
handpd_meander,efficientnet_b0,perspective,0.17295850066934407,0.22702290705084988,0.45992799999999995,0.24657172244992698
handpd_meander,efficientnet_b0,rotation,0.3360107095046855,0.6861649058092295,0.6640799999999999,0.5066708264951116
handpd_meander,efficientnet_b0,shadow,0.11030789825970548,-0.012402492544225202,0.19186399999999998,0.08980600136658518
handpd_meander,mobilenet_v3_large,brightness,-0.01527165932452267,0.045831117908018866,0.18884399999999998,0.04388230571014432
handpd_meander,mobilenet_v3_large,contrast,-0.04346549192364165,0.0038869696561232665,0.06758000000000002,-0.007050655064983841
handpd_meander,mobilenet_v3_large,gaussian_blur,-0.002055800293685693,0.02896731725611415,0.116008,0.0308638950299914
handpd_meander,mobilenet_v3_large,gaussian_noise,0.02261380323054335,0.07316564789669684,0.102958,0.05384819598428073
handpd_meander,mobilenet_v3_large,jpeg_compression,0.040528634361233516,0.09105500824277164,0.09885399999999998,0.06735161965344824
handpd_meander,mobilenet_v3_large,perspective,-0.05873715124816435,-0.005870784799311449,0.2863,0.026130188936124395
handpd_meander,mobilenet_v3_large,rotation,0.13568281938326,0.29299560333477215,0.523968,0.2605336906920616
handpd_meander,mobilenet_v3_large,shadow,-0.06607929515418491,-0.012892776523468322,0.109366,-0.01503428053413295
handpd_meander,resnet50,brightness,0.014184397163120527,0.04710970270815183,0.311768,0.08357870939400582
handpd_meander,resnet50,contrast,-0.01900709219858157,-0.013029700879517148,0.127036,0.011994743636854075
handpd_meander,resnet50,gaussian_blur,0.018439716312056792,-0.00702231065787835,0.20136600000000002,0.0473863649586649
handpd_meander,resnet50,gaussian_noise,-0.01843971631205671,-0.018354513282031103,0.14935102040816325,0.015143991940994968
handpd_meander,resnet50,jpeg_compression,0.02695035460992907,0.058298064915606365,0.19531956521739127,0.0700285098231247
handpd_meander,resnet50,perspective,-0.011347517730496446,0.015355309319036725,0.420516,0.0830360339304628
handpd_meander,resnet50,rotation,0.04822695035460994,0.19043695687027673,0.6261938775510205,0.2064833377485921
handpd_meander,resnet50,shadow,-0.009645390070921944,-0.025128043440182025,0.17208799999999996,0.022056491932484414
handpd_meander,vgg16,brightness,0.05075528700906344,0.12653375238732373,0.22655581395348837,0.10864893201142652
handpd_meander,vgg16,contrast,-0.04864048338368575,-0.0050587155122339255,0.09213800000000001,-0.007410256345513049
handpd_meander,vgg16,gaussian_blur,-0.03021148036253777,-0.0029730693775638444,0.100174,0.004037139005461963
handpd_meander,vgg16,gaussian_noise,-0.09274924471299091,-0.006212377977691905,0.10273125,-0.027692085749803023
handpd_meander,vgg16,jpeg_compression,-0.07039274924471292,0.0045823306098620705,0.09583061224489794,-0.01465555299041825
handpd_meander,vgg16,perspective,0.05740181268882176,0.003248190534791623,0.20207,0.07008936350484837
handpd_meander,vgg16,rotation,0.06586102719033236,0.2765265541988048,0.49726938775510193,0.215342357405828
handpd_meander,vgg16,shadow,0.04561933534743205,0.00231273167116418,0.11391199999999997,0.04628588717506528
handpd_spiral,efficientnet_b0,brightness,0.18457831325301194,0.220613589928134,0.22113095238095232,0.20269942408113664
handpd_spiral,efficientnet_b0,contrast,0.08168674698795167,0.10021403613748767,0.1244148936170213,0.0957905630586264
handpd_spiral,efficientnet_b0,gaussian_blur,0.10722891566265047,0.13946247641093518,0.2431869565217391,0.1440905920589536
handpd_spiral,efficientnet_b0,gaussian_noise,0.03927710843373475,0.02627204759990489,0.08325400000000002,0.04417096849683884
handpd_spiral,efficientnet_b0,jpeg_compression,0.07228915662650585,0.10889029560036442,0.10826521739130433,0.09046471047162312
handpd_spiral,efficientnet_b0,perspective,0.10963855421686733,0.0829760575341972,0.37749555555555553,0.15521120547980394
handpd_spiral,efficientnet_b0,rotation,0.05542168674698776,0.015812262054092287,0.6484479999999999,0.16214412198972156
handpd_spiral,efficientnet_b0,shadow,0.1028915662650601,-0.007564780614910896,0.167612,0.08269874894805679
handpd_spiral,mobilenet_v3_large,brightness,0.16662721893491134,0.0993682046557408,0.22850000000000004,0.1588240708641779
handpd_spiral,mobilenet_v3_large,contrast,0.006390532544378713,0.002469827437147748,0.058724,0.01568101450333368
handpd_spiral,mobilenet_v3_large,gaussian_blur,0.029585798816568164,0.009790856346870738,0.07903199999999999,0.0335365563123453
handpd_spiral,mobilenet_v3_large,gaussian_noise,0.020591715976331432,0.018331974584834838,0.080862,0.03196785036361617
handpd_spiral,mobilenet_v3_large,jpeg_compression,0.051124260355029684,0.04983363759192231,0.108682,0.06224862145509154
handpd_spiral,mobilenet_v3_large,perspective,0.03834319526627235,0.03864705967493943,0.26615,0.08399571553561799
handpd_spiral,mobilenet_v3_large,rotation,0.15266272189349123,0.21009500115593105,0.45345799999999997,0.23005146129352494
handpd_spiral,mobilenet_v3_large,shadow,0.1209467455621303,0.005467702189786901,0.30807999999999996,0.12372968343800121
handpd_spiral,resnet50,brightness,0.12650918635170605,0.006425004031647261,0.298402,0.12486249438534722
