dataset,model,PRS,PRS_plain_acc,mean_d_acc,clean_acc,clean_bacc,clean_f1,clean_auc
handpd_meander,resnet50,94.7,97.61,0.0239,0.8611,0.7989,0.9133,0.8517
handpd_meander,vgg16,92.2,95.59,0.0441,0.8611,0.7602,0.9153,0.8398
handpd_meander,mobilenet_v3_large,85.65,80.0,0.2,0.8333,0.8205,0.8916,0.8335
handpd_meander,efficientnet_b0,82.36,79.11,0.2089,0.8796,0.8489,0.924,0.8335
handpd_spiral,vgg16,95.28,98.02,0.0198,0.8889,0.8159,0.9318,0.904
handpd_spiral,resnet50,92.44,97.84,0.0216,0.8889,0.8545,0.9302,0.9625
handpd_spiral,mobilenet_v3_large,89.85,95.17,0.0483,0.9537,0.933,0.9714,0.9824
handpd_spiral,efficientnet_b0,88.33,90.38,0.0962,0.9074,0.9432,0.9398,0.9864
pdraw_spiral,vgg16,94.76,100.0,-0.0,0.7,0.7,0.5714,0.8267
pdraw_spiral,efficientnet_b0,92.49,97.26,0.0274,0.7,0.7,0.7568,0.8667
pdraw_spiral,mobilenet_v3_large,91.36,97.92,0.0208,0.8,0.8,0.7857,0.9111
pdraw_spiral,resnet50,87.79,90.42,0.0958,0.8,0.8,0.8235,0.9422
pdraw_wave,efficientnet_b0,96.84,100.0,-0.0065,0.7667,0.7667,0.7879,0.9422
pdraw_wave,vgg16,94.8,100.0,-0.003,0.8333,0.8333,0.8387,0.9067
pdraw_wave,resnet50,90.24,95.28,0.0472,0.9,0.9,0.8889,0.9289
pdraw_wave,mobilenet_v3_large,83.56,88.75,0.1125,0.9333,0.9333,0.9286,0.9333
